,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,eux,them
16,16,ville,city
17,17,chaque,each
18,18,parlé,speak
19,19,arrivé,come
20,20,devrait,should
21,21,bébé,baby
22,22,longtemps,long time
23,23,heures,hours
24,24,vont,will
25,25,pendant,while
26,26,revoir,meet again
27,27,aucune,any
28,28,place,square
29,29,parle,speak
30,30,compris,understood
31,31,savais,knew
32,32,étaient,were
33,33,attention,Warning
34,34,voici,here is
35,35,pourrais,could
36,37,donner,give
37,38,type,type
38,39,leurs,their
39,40,donné,given
40,41,train,train
41,42,corps,body
42,44,yeux,eyes
43,45,façon,way
44,46,écoute,listen
45,47,dont,whose
46,48,trouve,find
47,49,premier,first
48,50,perdu,lost
49,51,main,hand
50,52,première,first
51,53,côté,side
52,54,pouvoir,power
53,55,vieux,old
54,56,sois,be
55,57,tiens,here
56,58,matin,morning
57,59,tellement,so much
58,60,enfant,child
59,61,point,point
60,62,venu,came
61,63,suite,after
62,64,pardon,sorry
63,65,venez,come
64,66,devant,in front of
65,67,vers,towards
66,68,minutes,minutes
67,69,demandé,request
68,70,chambre,bedroom
69,71,mis,placed
70,72,belle,beautiful
71,73,droit,law
72,74,aimerais,would like to
73,75,aujourd'hui,today
74,76,mari,husband
75,78,enfin,finally
76,79,espère,hope
77,80,eau,water
78,81,attendez,Wait
79,82,parti,left
80,83,nouvelle,new
81,84,boulot,job
82,85,arrêter,Stop
83,86,dirait,would say
84,88,compte,account
85,89,donne,given
86,90,loin,far
87,91,fin,end
88,92,croire,believe
89,93,chérie,sweetheart
90,94,gros,large
91,95,plutôt,rather
92,96,aura,will have
93,97,filles,girls
94,98,jouer,to play
95,99,bureau,office
